5.059818,5.501142,6.281748,5.535126,4.982139,5.045634,4.85343,5.708106,4.765734,4.258341,6.059142,5.990787,5.753619,5.68062,5.198265,5.964975,5.011632,5.58234,5.479938,5.063589,4.765608,6.508359,5.090454,6.068916,4.800195,5.313942,5.878341,4.593609,6.052203,4.421115,5.78691,5.874039,4.948299,4.031613,4.830336,5.142969
6.685101,5.066865,5.825556,4.696389,7.26795,7.177797,6.850836,5.914377,6.297651,6.803892,6.607494,7.166718,6.570099,5.278671,4.840533,4.703265,5.057298,5.582295,5.910264,6.848874,6.299433,7.242309,5.34465,6.356574,5.239944,5.466033,5.873202,4.613382,6.090345,5.983002,4.943808,6.964326,6.452055,5.943186,4.690188,6.531381
5.041494,5.602869,5.742441,5.78268,5.280768,4.834323,5.325786,4.203675,4.804173,4.875732,5.341905,5.4018,5.302053,5.357367,4.741407,4.525821,6.137667,4.979772,5.784552,5.661252,5.538024,4.530375,6.589404,4.963653,6.711579,4.155165,5.187006,5.809779,4.986549,4.707162,4.798008,6.326064,5.870358,6.301872,6.299118,5.880771
5.117058,5.294934,4.734342,6.335235,5.337126,5.019408,5.760693,5.396967,5.55039,6.006753,4.683042,6.664329,4.793067,4.138695,4.975191,4.789323,5.886369,4.614201,6.047073,6.683472,5.178096,4.823631,5.984343,6.839928,6.10758,5.172714,5.800419,6.721767,6.222897,5.712318,5.064615,4.484979,4.806945,5.358879,5.17212,5.01012
5.328918,4.093776,5.416542,4.070097,4.885227,5.422149,5.6061,5.197293,4.521798,4.956615,4.678677,6.082938,5.117418,6.030387,4.930839,3.907557,4.832991,4.052142,5.452839,6.317037,4.939848,5.450616,5.022603,4.797594,5.269896,5.285646,4.99941,5.606154,5.290929,4.118499,4.544361,4.419171,4.782933,5.167323,5.320683,5.455998
5.112891,6.030027,5.039658,6.30297,6.503508,6.530157,4.572819,5.535018,4.788945,5.893353,4.367277,5.13171,5.677632,5.201109,5.338647,5.219073,5.565987,5.765247,5.229495,5.544639,4.807989,5.209659,6.162705,5.58936,4.588695,5.126526,4.722399,5.273343,4.211397,4.78845,4.234149,5.089041,5.904144,5.072841,4.9482,5.357304
4.2075,5.317407,5.078241,4.727745,5.248638,5.138028,5.311647,5.422455,4.915503,6.318783,5.437548,4.653324,5.372073,5.184045,5.433903,6.124176,5.783643,4.557888,4.34142,5.272839,5.493474,3.957066,5.461893,5.448969,4.499757,5.146245,4.599252,5.171337,4.621212,5.835537,5.756958,4.707189,5.572035,6.301197,5.391675,4.536126
5.308938,5.859117,5.173722,4.898835,4.99797,5.941926,5.104881,5.643468,5.709231,4.418127,4.974282,5.843763,5.357709,5.147721,5.165217,5.085126,6.105942,5.631615,4.857786,6.373341,5.694237,5.949081,6.9597,4.722516,6.133392,4.274865,5.389704,4.505571,6.259968,5.632686,5.737212,4.969737,4.747428,5.115402,6.02424,5.321106
5.610258,4.673736,4.675437,5.789322,4.601268,4.607919,5.251275,6.554268,5.626926,4.691493,5.839101,4.176999,4.712022,4.207446,4.915575,4.78332,5.717808,5.383008,5.427648,4.523841,5.668479,5.598684,5.405661,4.586067,4.41936,6.120009,4.417965,6.04143,4.856076,4.746897,5.593995,5.861304,4.939047,4.244382,5.327748,5.385186
5.496858,4.45275,5.520078,4.284279,5.102316,5.216535,5.921334,4.346874,5.05962,4.209435,6.004782,4.089204,5.512194,5.68908,5.918076,6.909651,4.536315,5.241015,5.250924,5.256738,5.651766,5.310837,5.776263,4.379049,5.934339,5.660937,4.536216,4.580208,5.71707,5.565168,4.522167,5.076054,5.5359,5.579253,4.965156,5.340186
