0.736328,0.585856,0.684984,0.818998,0.581223,0.611386,0.624395,0.607473
0.722285,0.622044,0.738879,0.793509,0.73116,0.650557,0.548249,0.757736
0.61331,0.69972,0.647288,0.788955,0.620814,0.596853,0.715934,0.463233
0.700133,0.71341,0.507354,0.66205,0.660321,0.630119,0.700722,0.720817
0.768437,0.669808,0.664261,0.639722,0.622108,0.682962,0.707916,0.600939
0.613665,0.573494,0.618155,0.595574,0.611357,0.589187,0.602991,0.543195
0.589028,0.547461,0.696293,0.788855,0.750785,0.677546,0.657462,0.780738
0.839945,0.692035,0.747302,0.641257,0.703536,0.519649,0.668192,0.789163
0.673199,0.581204,0.603523,0.561858,0.675095,0.595373,0.626295,0.713571
0.543476,0.651923,0.644234,0.668229,0.749284,0.618548,0.629755,0.521911
0.63893,0.638278,0.585249,0.669184,0.554771,0.656911,0.586769,0.593269
0.863349,0.645082,0.718399,0.69102,0.631695,0.595671,0.551792,0.621203
0.746177,0.70788,0.553101,0.72879,0.56292,0.515541,0.704714,0.704655
0.792333,0.683058,0.588346,0.575087,0.724791,0.617954,0.629155,0.602542
0.648061,0.654625,0.588699,0.551942,0.67968,0.701121,0.677927,0.675253
0.654825,0.752047,0.72579,0.752225,0.639713,0.709169,0.654255,0.718991
0.798348,0.847907,0.554958,0.595226,0.665408,0.596482,0.681368,0.590666
0.610772,0.723887,0.699256,0.616984,0.76691,0.866334,0.678683,0.70552
0.754842,0.65676,0.680195,0.524748,0.771221,0.747905,0.639475,0.76793
0.709581,0.785807,0.622647,0.758854,0.708379,0.652011,0.769487,0.602658
0.781602,0.590922,0.74973,0.663494,0.756872,0.634479,0.710187,0.715966
0.612795,0.639145,0.728817,0.665601,0.954956,0.8179,0.624898,0.726242
0.508722,0.601467,0.709282,0.79342,0.62472,0.741729,0.524728,0.645436
0.590562,0.713923,0.675565,0.638435,0.706793,0.641343,0.706731,0.577076
0.579461,0.7678,0.627497,0.650815,0.604233,0.605251,0.580272,0.663996
0.773611,0.579615,0.627447,0.786441,0.672579,0.646175,0.622,0.734919
0.555532,0.80299,0.635823,0.706043,0.572826,0.603297,0.762752,0.716024
0.690896,0.62632,0.580145,0.654841,0.557793,0.710456,0.643952,0.745085
0.587118,0.659537,0.656503,0.688074,0.569688,0.636957,0.628801,0.760068
0.573098,0.66342,0.477753,0.511305,0.673655,0.551872,0.602677,0.819262
0.655304,0.672479,0.602722,0.808392,0.743832,0.542855,0.714804,0.642422
0.64225,0.742687,0.759053,0.701281,0.717207,0.727746,0.794808,0.674082
0.71228,0.546752,0.755991,0.68725,0.482282,0.591935,0.555108,0.598879
0.704873,0.538202,0.687338,0.750399,0.682353,0.785186,0.681193,0.747313
0.686041,0.647277,0.721547,0.719191,0.607029,0.719647,0.698564,0.809541
0.596639,0.639937,0.704862,0.645359,0.512414,0.724214,0.602623,0.658724
0.497581,0.549327,0.631128,0.586917,0.491825,0.685954,0.639701,0.508571
